player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Snowmely,Snowmely,"sage,sova",204,244.3,1.07,75,164.0,0.80,0.39,0.13,0.07,25,13
hype,[A],"killjoy,viper,cypher",308,244.1,1.28,69,152.9,0.83,0.19,0.12,0.08,26,17
panday,DVN,"killjoy,chamber,viper",235,243.8,1.20,70,161.0,0.88,0.19,0.14,0.12,33,13
Noxy,ARES,"raze,reyna,kayo",394,243.7,1.16,73,151.8,0.84,0.19,0.18,0.14,21,11
Vera,GX,"raze,jett,reyna",811,243.5,1.13,71,158.8,0.85,0.20,0.18,0.17,26,15
Masic,SUR,"raze,jett,chamber",762,243.3,1.26,73,157.1,0.85,0.15,0.17,0.12,25,15
takej,RC,"astra,viper,brimstone",263,243.3,1.30,76,153.0,0.84,0.38,0.09,0.07,34,19
WeDid,Skwi,"omen,raze,viper",412,243.2,1.16,72,158.8,0.84,0.27,0.12,0.08,25,14
Harmful,TSM.A,"jett,chamber,neon",1020,243.0,1.19,68,152.8,0.88,0.15,0.21,0.17,29,16
Yoshii,TS,"jett,chamber",980,242.7,1.20,69,149.4,0.90,0.13,0.24,0.20,26,11
xander,6K,"jett,chamber",226,242.6,1.32,73,156.3,0.86,0.20,0.18,0.14,18,9
Noia,XSET,"raze,jett,chamber",289,242.5,1.13,69,161.2,0.85,0.15,0.18,0.17,27,24
RND,LOS,"chamber,skye",453,242.5,1.30,72,149.1,0.88,0.24,0.17,0.10,22,13
Minty,FAV,"jett,chamber,skye",348,242.4,1.26,70,156.3,0.85,0.21,0.13,0.11,24,5
musashi,RBLS,"reyna,sova,kayo",588,242.3,1.18,75,154.3,0.83,0.31,0.16,0.13,29,15
Kanove,Blac,jett,215,242.1,1.01,63,156.4,0.79,0.14,0.21,0.21,22,
Tisora,B4,"raze,jett,chamber",509,242.0,1.10,72,154.2,0.81,0.20,0.16,0.12,19,12
let,B4A,"raze,jett",601,241.2,1.19,73,151.8,0.88,0.19,0.22,0.18,24,31
waddle,HEET,"sova,viper",320,241.2,1.29,79,162.0,0.81,0.45,0.08,0.06,27,24
OXY,MR,"raze,jett",207,241.1,1.06,66,148.6,0.83,0.15,0.20,0.17,23,
alyaL,BW,"jett,breach,kayo",200,240.9,1.02,69,157.2,0.81,0.22,0.19,0.19,24,10
Hollywood,AIM,"chamber,cypher",576,240.9,1.21,73,155.4,0.84,0.22,0.13,0.10,24,11
SkRossi,GES,"jett,chamber",411,240.9,1.17,68,151.1,0.87,0.11,0.22,0.18,25,15
