player,org,agent,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
Haodong,EDG,viper,184.7,1.01,69,119.4,0.62,0.20,0.06,0.07,28,33
evaD,evaD,viper,184.6,0.88,69,120.4,0.62,0.35,0.08,0.07,24,7
berLIN,KPC,viper,182.5,0.84,69,125.4,0.66,0.30,0.09,0.12,29,17
kazz,AIM,viper,179.0,0.95,66,118.3,0.65,0.26,0.04,0.03,28,18
Aninha,VK,viper,178.0,0.89,65,111.6,0.61,0.26,0.06,0.11,18,29
ICEKING,ICEKING,viper,177.3,0.88,64,117.3,0.60,0.25,0.06,0.12,22,10
panini,SR,viper,175.7,0.90,70,113.2,0.60,0.24,0.06,0.04,21,9
AYRIN,XSET,viper,173.4,0.95,73,114.2,0.61,0.35,0.05,0.06,14,31
Exequies,SAF,viper,173.0,0.85,71,116.9,0.60,0.36,0.07,0.08,25,22
bnj,NIP,viper,157.6,0.77,65,107.8,0.55,0.28,0.07,0.11,29,19
skye,GX,viper,149.9,0.71,64,99.0,0.50,0.26,0.05,0.09,21,13
ADRENALINE,ZMM.B,viper,145.9,0.69,69,95.2,0.47,0.28,0.04,0.09,20,29
