player,org,agents,rounds,average_combat_score,kill_deaths,kast,average_damage_per_round,kills_per_round,assists_per_round,first_kills_per_round,first_deaths_per_round,headshot_percentage,clutch_success_percentage
CeLLo,CeLLo,astra,246,195.5,0.77,66,132.4,0.63,0.21,0.13,0.13,22,8
kpkp1,kpkp1,astra,200,195.2,0.87,,128.1,0.66,0.26,0.08,0.09,17,21
donQ,donQ,astra,2178,195.2,1.09,,129.0,0.73,0.23,0.07,0.06,32,16
tempz,FG,astra,443,195.1,0.97,,134.8,0.70,0.25,0.06,0.08,26,13
Potatoe,1337,astra,2766,195.0,0.96,68,125.9,0.69,0.30,0.08,0.10,19,19
AiyvaN,AiyvaN,astra,693,194.6,0.97,,130.0,0.69,0.24,0.16,0.15,22,13
Kira,Kira,astra,203,194.6,0.84,,131.1,0.70,0.21,0.08,0.10,22,6
Mazin,FUR,astra,2428,194.5,1.01,72,127.4,0.69,0.24,0.10,0.10,26,14
Derek,BRN,astra,967,194.3,1.00,65,130.1,0.68,0.29,0.11,0.11,25,13
Kamiunist,SLR,astra,414,194.3,0.85,65,127.6,0.65,0.25,0.15,0.17,17,
CallMeMar,Vexo,astra,1116,194.2,0.89,70,132.2,0.68,0.28,0.10,0.12,31,10
PureVNS,PK.A,astra,2966,194.2,1.01,72,129.2,0.70,0.27,0.06,0.07,31,16
meisoN,BSO,astra,564,193.9,0.97,66,127.7,0.71,0.21,0.09,0.10,31,13
lorenzo,NOM,astra,386,193.5,0.90,67,126.6,0.69,0.34,0.06,0.07,22,17
napeR,CRZ,astra,389,193.5,0.83,65,124.6,0.67,0.22,0.11,0.13,25,11
aljaDi,PER,astra,662,193.3,0.95,,126.5,0.71,0.23,0.11,0.12,23,16
BELKY,SH,astra,1095,193.3,0.97,68,130.9,0.69,0.29,0.08,0.10,22,21
uNKOE,OG,astra,1087,193.0,0.99,73,123.5,0.69,0.25,0.09,0.11,23,14
dennis69,wm,astra,349,192.9,0.82,,133.4,0.66,0.35,0.08,0.11,22,9
arbie,iPon,astra,1723,192.8,0.97,67,128.7,0.69,0.27,0.08,0.09,24,14
dumpling,dumpling,astra,711,192.8,0.98,67,126.4,0.71,0.34,0.08,0.08,19,13
Lok1,CES,astra,2207,192.7,1.02,74,122.6,0.68,0.30,0.07,0.08,24,13
Eazy,AE,astra,1622,192.1,0.99,,123.5,0.69,0.27,0.05,0.05,19,15
Slurpy,Exal,astra,558,192.1,0.93,75,124.8,0.70,0.28,0.08,0.10,27,11
Krumszz,SCY,astra,1163,191.9,0.90,67,129.7,0.69,0.24,0.06,0.08,26,8
Esmé,YFPB,astra,255,191.9,0.95,75,125.7,0.69,0.31,0.07,0.05,22,10
jance,TMV,astra,926,191.9,0.83,,129.4,0.65,0.22,0.09,0.11,24,11
lugn,Só,astra,552,191.7,0.86,64,126.9,0.66,0.22,0.12,0.16,24,13
Ember,RNT,astra,1960,191.7,0.98,69,126.3,0.69,0.28,0.06,0.08,26,15
stee,PMA,astra,538,191.6,0.91,59,126.7,0.68,0.17,0.09,0.13,24,17
ETO,ETO,astra,292,191.4,0.86,72,128.4,0.68,0.22,0.05,0.08,22,5
Kalashnikkov,NFC,astra,682,191.4,0.90,62,129.9,0.68,0.26,0.08,0.10,25,9
Link,Elys,astra,1184,191.3,1.02,74,130.2,0.69,0.31,0.04,0.05,23,13
bite,HH,astra,230,191.2,0.88,77,127.0,0.66,0.26,0.11,0.07,25,6
JC,SW,astra,1223,190.9,0.88,68,128.2,0.66,0.30,0.08,0.10,25,11
LulU,LulU,astra,254,190.7,0.91,,119.6,0.68,0.15,0.07,0.08,33,16
LGOD,TFG,astra,396,190.5,0.89,73,126.3,0.67,0.30,0.11,0.13,26,27
MILKY,HB,astra,514,190.4,0.91,67,126.3,0.68,0.31,0.08,0.09,24,8
P1ERCEE,BTR,astra,1027,190.0,0.94,73,123.6,0.67,0.26,0.08,0.09,25,15
scÂtro,scÂtro,astra,279,190.0,0.88,68,131.7,0.65,0.26,0.04,0.04,22,8
laoken,Ecle,astra,394,190.0,0.79,,126.8,0.66,0.19,0.08,0.09,29,6
panini,SR,astra,3236,189.9,1.02,72,125.8,0.68,0.28,0.06,0.06,22,13
Bia,TBK,astra,820,189.7,0.93,68,129.9,0.68,0.27,0.07,0.09,19,9
azul,azul,astra,749,189.3,0.97,69,128.0,0.64,0.35,0.07,0.07,31,11
notab0,PG,astra,212,189.3,0.82,60,128.3,0.69,0.15,0.14,0.25,28,
Colbs,LZR,astra,232,189.0,0.85,,118.6,0.64,0.18,0.05,0.05,26,8
Greed,303,astra,432,189.0,0.77,60,127.6,0.65,0.20,0.06,0.08,20,10
KONEQT,S1,astra,1796,189.0,0.90,67,123.4,0.66,0.23,0.09,0.08,27,11
ShawateRR,NASR,astra,882,188.9,0.93,,124.2,0.67,0.25,0.08,0.09,25,13
Licht,PRS,astra,260,188.9,1.02,,124.3,0.68,0.32,0.07,0.05,22,12
Nation,PRDX,astra,1616,188.9,0.98,,123.1,0.66,0.25,0.06,0.05,22,16
LiriLia,TEN,astra,2498,188.8,1.03,77,126.3,0.68,0.33,0.08,0.08,25,15
AntoL,SYN,astra,2354,188.8,0.84,71,126.5,0.64,0.34,0.06,0.07,20,12
Jefz,Jefz,astra,293,188.7,0.98,71,121.4,0.67,0.35,0.04,0.08,16,13
ezzy,Medal,astra,3275,188.7,0.90,64,124.9,0.67,0.22,0.10,0.11,30,11
LuoK1ng,KONE,astra,1285,188.5,0.94,68,125.4,0.67,0.30,0.08,0.08,28,14
zerv,LSE,astra,337,188.4,0.82,,117.6,0.63,0.26,0.05,0.08,21,14
saint,saint,astra,255,188.3,0.78,71,125.1,0.60,0.36,0.06,0.08,20,13
Wolffe,BAL,astra,771,188.3,0.87,71,125.7,0.66,0.25,0.06,0.06,28,11
biANca77,LUSA,astra,241,188.3,0.85,78,120.7,0.67,0.28,0.09,0.05,26,9
DenV,FWS,astra,420,188.3,0.86,71,129.1,0.64,0.32,0.06,0.07,22,16
Delight,Gods,astra,546,188.2,0.81,68,130.5,0.61,0.33,0.06,0.08,21,9
